,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,22.38,31.341609158105825,1.38,1.8695659433012959,1.4,46.3,72.4,0.9731825298019787,2.44,2.99,3.168232193773022,0.17,365.32,0.08,167.66,-91551625.08999991,-1182481381.4099998
1,24.36,25.54,35.200780258987656,1.43,1.767265809197475,1.4,47.6,72.4,0.9720491139603956,2.44,3.16,3.291132951873484,0.17,365.77,0.08,167.66,-91551625.08999991,-860568901.75
2,24.36,31.88,39.931435155537606,1.47,1.7505324314408943,1.4,50.8,72.4,0.9842319555445522,2.44,2.04,2.029640141760302,0.19,343.5,0.08,167.66,-91551625.08999991,-801718162.4600002
3,24.36,19.01,21.504320344993847,1.61,1.9626860438786797,1.4,34.4,72.4,0.9716144109900976,2.44,3.14,3.194611036418772,0.14,327.63,0.08,167.66,-91551625.08999991,-705993879.72
4,24.36,24.75,35.81487932443806,1.5,1.8458758220249314,1.4,40.3,72.4,0.9773893515841576,2.44,2.63,2.45341822405302,0.11,205.55,0.08,167.66,-91551625.08999991,-1074895092.8899999
5,24.36,42.97,44.40787380371912,1.61,1.8842944820736014,1.4,59.8,72.4,0.9886228961386135,2.44,1.82,1.9458167246341942,0.21,314.45,0.08,167.66,-91551625.08999991,-220710976.31000018
6,24.36,26.53,32.22150755517412,1.45,1.8522645755270986,1.4,54.8,72.4,0.9751015000990082,2.44,2.87,3.160531949213044,0.19,367.76,0.08,167.66,-91551625.08999991,-584093627.98
7,24.36,34.26,34.91103491510595,1.57,1.7936189444917001,1.4,47.8,72.4,0.9797671436633646,2.44,2.56,3.074965646370185,0.17,298.38,0.08,167.66,-91551625.08999991,117104075.91999996
8,24.36,32.67,39.238494977894604,1.42,1.7944477959366174,1.4,51.9,72.4,0.9832738070297022,2.44,2.13,2.1068417434175735,0.18,324.84,0.08,167.66,-91551625.08999991,-744881517.18
9,24.36,34.85,42.859477778203185,1.62,1.8253795304638827,1.4,56.0,72.4,0.9854272426732662,2.44,2.02,1.9583644095840818,0.19,326.65,0.08,167.66,-91551625.08999991,-373549776.02
10,24.36,26.34,35.93192578369811,1.56,1.8434190209836232,1.4,52.5,72.4,0.978697217623761,2.44,2.54,2.4501014005572537,0.18,364.74,0.08,167.66,-91551625.08999991,-283146884.14
11,24.36,25.54,33.627551092482456,1.42,1.8177567740712826,1.4,49.4,72.4,0.9796511832673253,2.44,2.4,2.388576517690102,0.18,351.41,0.08,167.66,-91551625.08999991,-805092323.03
12,24.36,38.61,47.24992322243106,1.54,1.757426831652768,1.4,64.6,72.4,0.9857821139603955,2.44,2.01,2.005604725299046,0.13,210.14,0.08,167.66,-91551625.08999991,-627841297.8900003
13,24.36,29.9,38.565033978404436,1.54,1.7927133328838873,1.4,57.1,72.4,0.9847036684158397,2.44,1.99,2.1041062729291844,0.19,362.66,0.08,167.66,-91551625.08999991,-768848664.0900002
14,24.36,19.01,21.504320344993847,1.61,1.9626860438786797,1.4,34.4,72.4,0.9716144109900976,2.44,3.14,3.194611036418772,0.14,327.63,0.08,167.66,-91551625.08999991,-705993879.72
15,24.36,28.32,38.01351281795195,1.48,1.8530852326211635,1.4,58.4,72.4,0.9812344208910875,2.44,2.29,2.546553612300391,0.2,380.86,0.08,167.66,-91551625.08999991,-661179777.31
16,24.36,23.17,25.141194090193057,1.51,1.879462655048518,1.4,47.6,72.4,0.9780982374257408,2.44,2.54,2.4035107891331027,0.17,358.32,0.08,167.66,-91551625.08999991,-85511666.48000014
17,24.36,28.91,44.22032476547679,1.45,1.8000868874720921,1.4,55.0,72.4,0.9840622426732658,2.44,2.01,1.9354049457782654,0.2,368.47,0.08,167.66,-91551625.08999991,-1082904308.92
18,24.36,28.32,37.828059580809246,1.47,1.8551428076602938,1.4,56.8,72.4,0.9834604109900971,2.44,2.07,1.997364055679587,0.19,376.03,0.08,167.66,-91551625.08999991,-851315816.2700002
19,24.36,27.33,34.042482503595494,1.61,1.8640376914296863,1.4,54.5,72.4,0.9820829852475244,2.44,2.23,2.148063764449226,0.17,327.29,0.08,167.66,-91551625.08999991,-637618208.1199999
